Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,contrast,scope,lib
prerank,Regulation Of Gene Expression By Hypoxia-inducible Factor R-HSA-1234158,0.7455797057369717,1.6611233774833325,0.0093283582089552,0.2378502408672418,0.985,5/9,13.53%,VEGFA;HIF1A;CITED2;HIGD1A;EPAS1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,PECAM1 Interactions R-HSA-210990,0.7062374220624014,1.658905759956558,0.0091407678244972,0.2356460996478891,0.986,4/12,7.91%,PLCG1;PECAM1;FYN;ITGB3,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Meiotic Recombination R-HSA-912446,0.5923186122662835,1.652727459619849,0.0076190476190476,0.2442537537198662,0.988,9/24,18.68%,ATM;MLH3;RAD50;MND1;MSH4;MRE11;POLR1A;RPA3;CDK2,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,"GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590",-0.6141567126791654,-1.6520053760409223,0.0131868131868131,0.7693144339995945,0.992,8/19,11.91%,SLC6A11;GAD1;CPLX1;RAB3A;ABAT;SLC32A1;DNAJC5;SLC6A1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Metabolism Of Cofactors R-HSA-8978934,0.6293296184702599,1.6519289451435164,0.0126126126126126,0.2390760243783391,0.99,8/19,14.54%,HSP90AA1;PDSS2;IDH1;GCH1;CALM1;COQ6;PTS;PDSS1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Fructose Metabolism R-HSA-5652084,-0.7878109780176384,-1.6464243576896649,0.0166320166320166,0.7308639101351343,0.994,7/7,21.26%,GLYCTK;KHK;ALDOB;SORD;TKFC;AKR1B1;ALDH1A1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192,0.5902708467211172,1.6454286473388764,0.0126582278481012,0.249923930145506,0.992,8/25,12.79%,ATM;RMI2;BARD1;RAD50;KAT5;RMI1;DNA2;MRE11,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994,0.5684068537514397,1.644988432647364,0.0236363636363636,0.243359051325288,0.992,10/26,14.15%,ATF4;PARN;CEBPG;ATF6;CCL2;HERPUD1;EXOSC8;ATF3;EXOSC9;NFYA,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Hyaluronan Uptake And Degradation R-HSA-2160916,0.7476400050116668,1.6443682951406455,0.0171755725190839,0.2378750519420494,0.992,4/10,9.56%,LYVE1;HYAL2;CHORDC1;CD44,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Signaling By FGFR2 IIIa TM R-HSA-8851708,-0.6289935147762528,-1.642117306129546,0.0146750524109014,0.693021299691456,0.995,11/18,19.21%,POLR2E;FGF1;POLR2G;NCBP2;POLR2L;POLR2F;POLR2I;POLR2A;FGFR2;GTF2F1;GTF2F2,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Acetylcholine Regulates Insulin Secretion R-HSA-399997,-0.7089209173740194,-1.6419165949190826,0.0128205128205128,0.636485351558732,0.995,3/10,3.56%,MARCKS;PRKCA;GNAQ,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Impaired BRCA2 Binding To PALB2 R-HSA-9709603,0.5957829514531877,1.6406425454161049,0.0091074681238615,0.2401278975345824,0.994,8/24,12.79%,ATM;RMI2;BARD1;RAD50;KAT5;RMI1;DNA2;MRE11,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Modulation By Mtb Of Host Immune System R-HSA-9637628,0.8461906550044376,1.6365812871833427,0.003731343283582,0.2436572854568141,0.994,5/6,10.30%,B2M;UBC;MRC1;TLR2;UBB,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Meiosis R-HSA-1500620,0.4991726795272926,1.6335817326962938,0.0037523452157598,0.2452838705309212,0.996,15/50,16.50%,ATM;SUN1;RAD21;TERF1;SMC1A;MLH3;STAG2;RAD50;MND1;MSH4;SMC3;MRE11;POLR1A;RPA3;POT1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Myoclonic Epilepsy Of Lafora R-HSA-3785653,0.8068427189849672,1.628677023805914,0.0095969289827255,0.2520235376727827,0.997,4/7,10.30%,GYS1;UBC;PPP1R3C;UBB,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,"Defective EXT1 Causes Exostoses 1, TRPS2 And CHDS R-HSA-3656253",-0.6656435513242704,-1.6260931253120934,0.0206611570247933,0.6860770579232927,0.997,3/13,1.64%,SDC3;AGRN;GPC2,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Dopamine Neurotransmitter Release Cycle R-HSA-212676,-0.5869719432120485,-1.621131819602214,0.0283224400871459,0.6662513979834496,0.998,9/21,24.40%,CPLX1;RAB3A;LIN7B;SYN1;TSPOAP1;PPFIA2;SNAP25;SYN2;VAMP2,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Telomere C-strand Synthesis Initiation R-HSA-174430,0.6962175718523722,1.6190211911042596,0.0232142857142857,0.2733935224786691,0.998,6/12,17.83%,TERF1;POLA2;PRIM2;STN1;POT1;PRIM1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,HDR Thru Single Strand Annealing (SSA) R-HSA-5685938,0.5378431458258448,1.61604871272215,0.0107719928186714,0.2744231184650453,0.998,14/36,17.54%,ATM;RMI2;BARD1;HUS1;RAD50;KAT5;RMI1;DNA2;MRE11;POLR1A;RFC4;RPA3;WRN;RFC2,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Nuclear Pore Complex (NPC) Disassembly R-HSA-3301854,0.5317396592366309,1.6153531078838304,0.0091911764705882,0.2693272427776815,0.998,16/34,22.68%,NUP58;NUP42;NUP43;NEK7;NUP155;SEH1L;NEK9;NUP214;NUP35;NDC1;NUP85;NUP88;CDK1;NUP133;NUP205;NUP98,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Serotonin Neurotransmitter Release Cycle R-HSA-181429,-0.6145969656784173,-1.6151782230229,0.0213675213675213,0.6572759905494758,0.999,8/16,24.40%,CPLX1;RAB3A;SYN1;TSPOAP1;PPFIA2;SNAP25;SYN2;VAMP2,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,RNA Polymerase III Transcription Termination R-HSA-73980,-0.5905521776799909,-1.6086763374017814,0.0180586907449209,0.654266819116605,0.999,8/20,12.25%,POLR2E;NFIX;POLR2L;POLR2F;POLR1D;CRCP;POLR3GL;POLR3H,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Creatine Metabolism R-HSA-71288,-0.7838513140958807,-1.6068825943626823,0.024390243902439,0.6255429099846563,0.999,3/7,1.84%,GAMT;SLC6A11;CKB,C9ALS_vs_sALS,ventral_horn_MN,Reactome
