,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RUFY2,1364.060873577146,-0.6105816062627365,0.13253040390752957,-4.607105903704614,4.083120730066798e-06,0.0007505706233168361
TMEM179,257.7917100069651,-1.1632349911187168,0.25282873195575783,-4.600881324367318,4.2070708312986415e-06,0.000763688532651486
NIPAL4,82.96604330492212,-0.9920907402724659,0.21579599101542835,-4.597354823897244,4.278885742296551e-06,0.0007671355401188953
SLC25A13,640.4670552013647,-0.8278695104358061,0.18085219830215182,-4.577602695504288,4.703349063593701e-06,0.0007985768571279935
RFTN1,448.35628094087394,1.3237738622348727,0.28884055448039686,4.583060936911181,4.582184350569461e-06,0.0007985768571279935
SH3BP2,225.50956026160685,0.7719726069529166,0.16851681241554672,4.580982727404694,4.6279606957606684e-06,0.0007985768571279935
B4GALT5,621.6315758565667,0.6557744701906552,0.14332042208918117,4.575582883663287,4.748959026339374e-06,0.0007985768571279935
MOB3B,1063.7863755761625,-0.7579804336414646,0.16549267908713422,-4.580144800498259,4.646541205836143e-06,0.0007985768571279935
SLC7A7,187.69793957940178,1.4007442475814142,0.30623821135832086,4.574034838331922,4.784202352991009e-06,0.0007985768571279935
SERPINA1,638.4595597185128,1.728278766766017,0.3794759027017239,4.554383439004507,5.253944681747006e-06,0.0008670202803219321
SLC44A3,199.2042156772911,0.791806494885863,0.17416559297208367,4.546285413633785,5.460098298488174e-06,0.0008894196891472819
KLHL35,41.73575551622124,-1.2170302913200055,0.2678155033392389,-4.544286182635241,5.512172705085758e-06,0.0008894196891472819
CKMT2,202.85552495787684,-1.0901561841328027,0.24025042886574077,-4.537582676874284,5.690272462977981e-06,0.0009080674363446838
SLA,344.4750304774238,1.4880320842897716,0.3281325244257068,4.5348509322387525,5.76441832854273e-06,0.0009099009018162775
AREG,16.207604672091037,1.9271294748066186,0.42556317082432454,4.528421646717524,5.942590891838563e-06,0.0009279387627019313
CCL2,551.5230311416342,2.624671618853057,0.5800794738801671,4.524675905693678,6.048812563752062e-06,0.0009344771920298665
GLIS3,271.37842485117693,1.1591879568206223,0.2572455414030618,4.506153733503836,6.601326887130612e-06,0.0009779654407147914
RGS2,724.9239070962534,1.748627708122414,0.38800011868183315,4.506771065078769,6.58215837704337e-06,0.0009779654407147914
PTGFRN,213.82074683447775,0.6443138875203037,0.1428957988375894,4.508977120122401,6.514093278543135e-06,0.0009779654407147914
SLC35E3,435.8175303733223,-1.0179437464969325,0.2256164573981918,-4.511832861112422,6.4269825074913534e-06,0.0009779654407147914
AMOTL2,1015.6785981948849,-0.907049642545915,0.20138530755402467,-4.5040507351937045,6.6670278632946114e-06,0.0009779654407147914
PCYT1B,148.9749598734594,-0.6734718696030643,0.1497311216547032,-4.497875005278903,6.863602759673812e-06,0.0009967323927598311
YARS,307.15082475496894,0.6618434155371362,0.14729604711171052,4.493287012890365,7.013216108192186e-06,0.0009984894541486954
FCER1G,847.2716695585802,1.773136089810003,0.39456935466220744,4.493851508888704,6.994641135422112e-06,0.0009984894541486954
UGCG,649.3722662330506,1.1304788175785725,0.2518966062261946,4.487868393762483,7.193934433725479e-06,0.0010142749111316642
CHI3L2,985.7948411371508,3.032667909052866,0.6774254391166774,4.4767552765766885,7.578603689363014e-06,0.0010582354113166316
SECTM1,55.505248590676175,1.7164372680170583,0.38456740229048464,4.463293710787634,8.070929974397506e-06,0.0011162480484590532
SCN3B,135.51895804129063,0.9341808029983629,0.20977240917113898,4.453306355633398,8.455796994370371e-06,0.0011546122447348324
CTSC,338.3410252421027,1.6314792297175162,0.36645967420279657,4.45200207435284,8.507334402053923e-06,0.0011546122447348324
SULT1A1,135.88683668998775,-1.1068808761643754,0.2490030441836567,-4.445250377533438,8.778956322217623e-06,0.0011804444788078177
BAX,331.7882733526139,0.6446141732020416,0.14512947462395495,4.441648912960663,8.927213365908862e-06,0.0011893669036672338
C1QC,2152.7177670561337,1.5216975871346299,0.34373069140342816,4.427005284054346,9.55503926454521e-06,0.001261438910906596
RASGRF2,503.86519040662546,-0.4577746740330009,0.10349700797215601,-4.423071574746942,9.730748658464368e-06,0.001261695821591246
MTHFD2,498.3470967321749,1.5578808684292589,0.35219710953619426,4.4233209934085504,9.71951668879186e-06,0.001261695821591246
TGFB2,323.5959918432602,1.5515184267199265,0.3514320144286407,4.414846579195097,1.010816522272411e-05,0.0012990334103044206
DHCR24,4385.29308600077,-0.887964061421505,0.20155631690664044,-4.4055382388873685,1.0552153462490247e-05,0.0013441962507217838
LRRC59,154.2006397969132,0.8020473105086753,0.18270010704144296,4.389966286810889,1.1336823556784774e-05,0.0014315943625359
NANS,195.60299271475773,0.8857001297196118,0.2019904241867572,4.384861971975004,1.1605934540497734e-05,0.001452942943078518
FCGR2A,445.5113353847394,1.5290648930294601,0.3490041609775728,4.381222529687028,1.1801526377178042e-05,0.0014648014192254661
TPPP3,4212.417471491562,-1.0849455033123936,0.24818106310259008,-4.371588588384409,1.2334578393973139e-05,0.0015179893850616774
SAMSN1,160.171489907028,1.483876644568529,0.3398159385597386,4.366707020446801,1.2613373566865758e-05,0.0015392555541010465
