,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TOMM7,412.0693969265162,0.5465226962995787,0.09840446816738324,5.553840252151548,2.7946089430296873e-08,2.0265572518536946e-05
SPI1,124.57454064470734,0.9844419706320313,0.1777910858604409,5.537071590893933,3.0757085266456414e-08,2.0405640792378474e-05
ABCB1,64.41989205057801,-1.050856725335155,0.189884244250899,-5.534196528420918,3.126582516261162e-08,2.0405640792378474e-05
TAGLN2,104.29003626649616,0.9914770684401992,0.1835613864089504,5.401337873049836,6.614570516173684e-08,4.111428045124528e-05
GJB6,42.84014566361838,-2.9232545423368563,0.5466335523320016,-5.34774078514924,8.905888921274771e-08,5.284025822245437e-05
NRGN,34.38975646827231,-2.389919295314623,0.4487604258288306,-5.325601719226024,1.0061938843612252e-07,5.482171009732948e-05
CNDP2,264.7779941742154,0.6199892434261995,0.11642381128949296,5.325278708532989,1.0079836377353156e-07,5.482171009732948e-05
LILRB4,10.2558198282902,1.7703541986480429,0.33661956947692345,5.25921354304806,1.4467280722050264e-07,7.553656610596884e-05
PLA2G7,11.272769099811232,2.5787004754053795,0.49183323004538526,5.2430383265633,1.579537126157989e-07,7.929883887592396e-05
PRELP,106.83544871895432,-2.098320681703846,0.40117986999325655,-5.230373801504838,1.691676270011755e-07,8.178314945356828e-05
PHLDB2,40.46522691205201,-1.7699286765932576,0.3389532851916623,-5.22174811078301,1.772419518657449e-07,8.262639991798458e-05
CYBA,76.75386024631682,1.087779945811975,0.20870610032231443,5.212017972316412,1.867974471540317e-07,8.407817509315779e-05
THSD4,70.80100961909297,-2.223023973142472,0.42746568958612124,-5.2004734585712304,1.9878150512600464e-07,8.648983288032462e-05
NCF2,45.21533251733139,1.460968310171811,0.28205635436553095,5.1797035860375225,2.2223875059241723e-07,9.357685198331684e-05
ARHGAP29,66.12079621340159,-1.5790960359492758,0.3095107881431139,-5.101909517994318,3.3624350925584913e-07,0.00013715582894739372
RAP2B,63.15328012900776,1.0074028774303754,0.20240267946472212,4.977221053073862,6.450364237028918e-07,0.00025514122541193474
